title,body,course_code,bounty,is_solved,user_id
"How to implement AVL Tree left-rotation in C++?","I am implementing self-balancing AVL Trees for CSE205. After a left rotation, how do I properly recalculate the heights of the rotated subtree root and its left child? Looking for a clean step-by-step fix with height calculation logic.",CSE205,35,false,00000000-0000-0000-0000-000000000001
"Next.js 14 App Router: hydration mismatch error with localStorage","In my INT219 frontend project, when I read a theme value from localStorage inside a client component, I get a hydration mismatch warning. How do I properly defer localStorage access until after component mounting in Next.js App Router?",INT219,25,false,00000000-0000-0000-0000-000000000001
"How to prevent deadlock in Dining Philosophers using POSIX Semaphores?","For our CSE316 assignment, we must implement Dining Philosophers in C on Linux using pthread and sem_t. When all 5 philosophers pick up their left fork simultaneously, the program deadlocks. What is the asymmetric semaphore approach to guarantee no deadlocks?",CSE316,40,false,00000000-0000-0000-0000-000000000001
"Why is my CNN model overfitting on small training datasets despite Dropout(0.5)?","Training loss decreases to 0.05 while validation loss stalls at 0.85 on PyTorch (INT404). Should I use data augmentation, weight decay (L2 regularization), or transfer learning with MobileNet?",INT404,45,false,00000000-0000-0000-0000-000000000001
"Difference between AES-CBC and AES-GCM for encrypted chat sessions?","In CSE432 network security, why does AES-GCM provide built-in authentication and integrity against bit-flipping attacks, whereas CBC mode requires an additional HMAC?",CSE432,35,false,00000000-0000-0000-0000-000000000001
"Dijkstra vs Bellman-Ford: When does Dijkstra fail on negative edges?","Can someone provide a minimal directed graph example where Dijkstra greedy approach fails when a negative edge is present, but no negative cycles exist? Need an intuitive breakdown for the upcoming mid-term exam.",CSE205,20,false,00000000-0000-0000-0000-000000000001
"How to compute FFT twiddle factors in Python for signal filtering?","In ECE215 Digital Signal Processing, how are the complex twiddle factors calculated during the bit-reversal and butterfly stages of the Cooley-Tukey Radix-2 FFT algorithm?",ECE215,40,false,00000000-0000-0000-0000-000000000001
"Reentrancy attack vulnerability in Solidity smart contract withdrawal function","How does the Checks-Effects-Interactions pattern prevent reentrancy attacks in Ethereum smart contracts when calling msg.sender.call{value: amount}("") before updating the balance mapping?",CSE411,50,false,00000000-0000-0000-0000-000000000001
"How to find eigenvalues and eigenvectors for non-symmetric 3x3 matrix?","In MTH166 unit 2, I am stuck on finding the eigenspace for the matrix A = [[2, 1, 1], [1, 2, 1], [0, 0, 1]]. How do I find linearly independent eigenvectors for the repeated eigenvalue lambda = 1?",MTH166,30,false,00000000-0000-0000-0000-000000000001
"EDTA Titration calculation: Total vs Permanent Hardness in boiler feed water","In CHE110 lab, 50ml of hard water required 18ml of 0.01M EDTA using EBT indicator. After boiling and filtering, 50ml required 8ml of EDTA. How do I calculate temporary and permanent hardness in ppm of CaCO3 equivalent?",CHE110,20,false,00000000-0000-0000-0000-000000000001
